<< 0/0/200;20:47:44;4936.9848N;604.2419E;29.42;26.12;958.40;24.42;39.04;;
<< 0/0/200;20:47:48;4936.9848N;604.2419E;1.45;26.12;958.40;24.42;39.04;;
<< 26/1/2014;20:47:52;4936.9848N;604.2419E;14.06;26.12;958.40;24.42;39.08;;
<< 0/2/2060;20:47:55;4936.9848N;604.2419E;36.00;26.13;958.38;24.44;39.14;;
<< 0/2/2060;20:47:59;4936.9848N;604.2419E;-12.81;26.13;958.36;24.46;39.18;;
<< 0/2/2060;20:48:3;4936.9848N;604.2420E;32.16;26.15;958.38;24.46;39.11;;
<< 0/2/2060;20:48:7;4936.9848N;604.2419E;0.35;26.13;958.40;24.43;39.04;;
<< 0/2/2060;20:48:10;4936.9848N;604.2419E;28.32;26.14;958.34;24.44;39.04;;
<< 0/2/2060;20:48:14;4936.9848N;604.2419E;12.97;26.14;958.31;24.43;38.98;;
<< 0/2/2060;20:48:18;4936.9848N;604.2419E;22.29;26.16;958.35;24.43;38.98;;
<< 26/1/2014;20:48:20;4936.9848N;604.2418E;15.71;26.14;958.29;24.44;38.98;;
<< 26/1/2014;20:48:24;4936.9848N;604.2418E;11.87;26.13;958.33;24.44;38.98;;
<< 26/1/2014;20:48:28;4936.9848N;604.2419E;-18.29;26.16;958.35;24.45;39.14;;
<< 26/1/2014;20:48:32;4936.9848N;604.2419E;20.10;26.13;958.28;24.44;39.18;;
<< 0/2/2060;20:48:35;4936.9848N;604.2419E;22.84;26.12;958.34;24.42;39.11;;
<< 0/2/2060;20:48:39;4936.9848N;604.2419E;18.45;26.12;958.40;24.42;39.11;;
<< 26/1/2014;20:48:42;4936.9848N;604.2419E;5.84;26.12;958.31;24.42;39.11;;
<< 26/1/2014;20:48:46;4936.9848N;604.2419E;11.87;26.13;958.43;24.42;39.17;;
<< 26/1/2014;20:48:50;4936.9848N;604.2419E;-2.39;26.12;958.40;24.42;39.37;;
<< 26/1/2014;20:48:54;4936.9848N;604.2419E;40.94;26.13;958.42;24.41;39.47;;
<< 0/0/206;20:48:56;4936.9848N;604.2420E;19.00;26.13;958.32;24.43;39.57;;
<< 0/0/206;20:49:0;4936.9848N;604.2423E;25.03;26.13;958.37;24.45;39.70;;
<< 0/0/200;20:49:4;4936.9848N;6425.0000E;2.00;26.13;958.34;24.46;39.67;;
<< 26/1/2014;20:49:7;4936.9848N;604.2426E;-0.74;26.12;958.35;24.45;39.51;;
<< 26/1/2014;20:49:11;4936.9848N;604.2427E;7.48;26.13;958.34;24.45;39.34;;
<< 26/1/2014;20:49:14;4936.9853N;604.2432E;19.55;26.12;958.36;24.45;39.28;;
<< 26/1/2014;20:49:18;4936.9853N;604.2433E;33.81;26.13;958.31;24.44;39.24;;
<< 26/1/2014;20:49:22;4936.9848N;604.2439E;10.77;26.13;958.36;24.44;39.21;;
<< 26/1/2014;20:49:26;4936.9848N;604.2446E;28.87;26.14;958.36;24.46;39.21;;
<< 26/1/2014;20:49:30;4936.9848N;604.2450E;31.61;26.14;958.37;24.48;39.21;;
<< 26/1/2014;20:49:34;4936.9848N;604.2450E;-4.58;26.15;958.32;24.46;39.18;;
